Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,127,6,Some Random Commen with Id 0
1,0,2,165,8,Some Random Commen with Id 1
2,0,2,71,1,Some Random Commen with Id 2
3,0,2,142,6,Some Random Commen with Id 3
4,1,1,143,6,Some Random Commen with Id 4
5,1,1,198,2,Some Random Commen with Id 5
6,1,1,111,6,Some Random Commen with Id 6
7,1,1,38,5,Some Random Commen with Id 7
8,1,1,41,7,Some Random Commen with Id 8
9,1,1,131,3,Some Random Commen with Id 9
10,1,1,174,3,Some Random Commen with Id 10
11,1,1,197,7,Some Random Commen with Id 11
12,1,1,70,1,Some Random Commen with Id 12
13,2,8,198,4,Some Random Commen with Id 13
14,2,8,8,1,Some Random Commen with Id 14
15,2,8,68,0,Some Random Commen with Id 15
16,2,8,52,2,Some Random Commen with Id 16
17,2,8,22,8,Some Random Commen with Id 17
18,2,8,183,4,Some Random Commen with Id 18
19,2,8,112,6,Some Random Commen with Id 19
20,2,8,96,3,Some Random Commen with Id 20
21,2,8,196,6,Some Random Commen with Id 21
22,3,3,51,3,Some Random Commen with Id 22
23,3,3,91,7,Some Random Commen with Id 23
24,3,3,34,3,Some Random Commen with Id 24
25,3,3,53,2,Some Random Commen with Id 25
26,5,8,91,8,Some Random Commen with Id 26
27,5,8,197,5,Some Random Commen with Id 27
28,5,8,75,0,Some Random Commen with Id 28
29,5,8,144,2,Some Random Commen with Id 29
30,5,8,126,0,Some Random Commen with Id 30
31,5,8,38,2,Some Random Commen with Id 31
32,6,4,163,6,Some Random Commen with Id 32
33,6,4,58,3,Some Random Commen with Id 33
34,6,4,33,6,Some Random Commen with Id 34
35,6,4,39,2,Some Random Commen with Id 35
36,6,4,29,7,Some Random Commen with Id 36
37,6,4,128,6,Some Random Commen with Id 37
38,7,9,165,6,Some Random Commen with Id 38
39,7,9,153,5,Some Random Commen with Id 39
40,7,9,20,2,Some Random Commen with Id 40
41,7,9,65,5,Some Random Commen with Id 41
42,7,9,38,8,Some Random Commen with Id 42
43,8,4,188,6,Some Random Commen with Id 43
44,8,4,100,0,Some Random Commen with Id 44
45,8,4,35,4,Some Random Commen with Id 45
46,9,5,134,6,Some Random Commen with Id 46
47,10,8,187,4,Some Random Commen with Id 47
48,10,8,4,3,Some Random Commen with Id 48
49,11,6,107,6,Some Random Commen with Id 49
50,11,6,25,4,Some Random Commen with Id 50
51,12,9,37,9,Some Random Commen with Id 51
52,12,9,65,0,Some Random Commen with Id 52
53,12,9,82,1,Some Random Commen with Id 53
54,12,9,33,4,Some Random Commen with Id 54
55,12,9,162,5,Some Random Commen with Id 55
56,12,9,7,5,Some Random Commen with Id 56
57,12,9,28,3,Some Random Commen with Id 57
58,15,1,48,0,Some Random Commen with Id 58
59,15,1,198,9,Some Random Commen with Id 59
60,16,0,98,6,Some Random Commen with Id 60
61,17,9,132,8,Some Random Commen with Id 61
62,17,9,162,7,Some Random Commen with Id 62
63,17,9,39,1,Some Random Commen with Id 63
64,17,9,82,5,Some Random Commen with Id 64
65,17,9,165,0,Some Random Commen with Id 65
66,17,9,94,8,Some Random Commen with Id 66
67,17,9,2,5,Some Random Commen with Id 67
68,17,9,83,0,Some Random Commen with Id 68
69,18,5,177,3,Some Random Commen with Id 69
70,18,5,53,9,Some Random Commen with Id 70
71,18,5,21,4,Some Random Commen with Id 71
72,18,5,29,0,Some Random Commen with Id 72
73,18,5,46,0,Some Random Commen with Id 73
74,18,5,42,8,Some Random Commen with Id 74
75,19,2,45,6,Some Random Commen with Id 75
76,19,2,71,7,Some Random Commen with Id 76
77,19,2,73,2,Some Random Commen with Id 77
78,19,2,123,0,Some Random Commen with Id 78
79,19,2,80,6,Some Random Commen with Id 79
80,19,2,186,6,Some Random Commen with Id 80
81,19,2,186,5,Some Random Commen with Id 81
82,20,2,80,2,Some Random Commen with Id 82
83,20,2,64,2,Some Random Commen with Id 83
84,20,2,86,8,Some Random Commen with Id 84
85,20,2,51,8,Some Random Commen with Id 85
86,20,2,102,6,Some Random Commen with Id 86
87,21,2,65,3,Some Random Commen with Id 87
88,22,3,17,3,Some Random Commen with Id 88
89,22,3,168,6,Some Random Commen with Id 89
90,22,3,59,2,Some Random Commen with Id 90
91,22,3,73,4,Some Random Commen with Id 91
92,22,3,40,1,Some Random Commen with Id 92
93,22,3,92,6,Some Random Commen with Id 93
94,22,3,146,0,Some Random Commen with Id 94
95,23,3,75,2,Some Random Commen with Id 95
96,23,3,124,4,Some Random Commen with Id 96
97,23,3,72,9,Some Random Commen with Id 97
98,24,5,181,1,Some Random Commen with Id 98
99,24,5,170,5,Some Random Commen with Id 99
100,25,5,30,8,Some Random Commen with Id 100
101,25,5,4,6,Some Random Commen with Id 101
102,25,5,177,4,Some Random Commen with Id 102
103,25,5,127,6,Some Random Commen with Id 103
104,25,5,199,1,Some Random Commen with Id 104
105,25,5,191,2,Some Random Commen with Id 105
106,25,5,7,0,Some Random Commen with Id 106
107,25,5,182,1,Some Random Commen with Id 107
108,25,5,42,0,Some Random Commen with Id 108
109,26,4,67,8,Some Random Commen with Id 109
110,26,4,48,1,Some Random Commen with Id 110
111,26,4,1,3,Some Random Commen with Id 111
112,26,4,126,6,Some Random Commen with Id 112
113,27,5,82,5,Some Random Commen with Id 113
114,27,5,140,8,Some Random Commen with Id 114
115,27,5,194,6,Some Random Commen with Id 115
116,27,5,78,2,Some Random Commen with Id 116
117,27,5,179,8,Some Random Commen with Id 117
